Amsterdam2023				
1	14.2	10.4	0.5	2.2
2	11.2	3.5	0.46	2.17
3	8.4	1.3	0.18	1.34
4	12.2	8.5	1.15	1.76
5	10.9	9.2	0.2	2.48
6	10.5	8.3	0.18	3.06
7	11.2	8.2	0.08	3.26
8	9.9	6.6	0.08	3.51
9	8.4	4.5	0.44	2.44
10	10.5	4.9	0.76	1.41
11	11.3	7.7	0.61	3.83
12	11.4	8.1	2.49	0.85
13	9.1	6.8	0.33	2.85
14	10.9	5.3	1.69	0.34
15	7.3	3.8	0.9	2.59
16	5	2.1	1.26	0.58
17	4.6	-1.7	0.06	4.58
18	5.1	-1.6	0.51	3.87
19	5.3	-1.1	0.36	4.37
20	1.4	-1.4	1.64	3.69
21	2.6	-6.1	0	4.21
22	2.4	-1.8	0	3.86
23	3.8	0.7	0	2.46
24	2.1	-1.3	0	2.26
25	1.4	-0.3	0.01	2.15
26	7.7	0.6	0.29	4.34
27	4.9	2.2	0	1.76
28	5.6	0.5	0	5.51
29	7.2	2.9	0.04	1.2
30	8.1	5	0.11	4.93
31	9.1	4.4	0.06	3.18
32	7.9	6.2	0.18	3.43
33	8.7	7	0.42	1.08
34	10.4	6.9	0.12	2.16
35	9.2	6.2	0.08	2.03
36	8.3	2	0.19	5.57
37	7.8	-0.6	0	5.86
38	4.7	-1.9	0	5.81
39	5.7	-3.8	0	7.56
40	7.2	-1.6	0.01	3.55
41	7.7	1.3	0	7.04
42	9.8	5.5	0	4.58
43	9.1	4.1	0.01	2.35
44	11.2	2	0	8.13
45	11.2	0.3	0	7.83
46	10.1	-1.3	0	6.93
47	9.8	5.3	0.22	2.37
48	11.1	8.5	0.12	4.04
49	10.9	8.7	0.61	4.19
50	9.2	4.6	0.72	4.26
51	9.3	5.7	0	2.64
52	10.6	6.5	0.04	4.2
53	10.2	2.7	0.02	5.01
54	9.3	0.6	0.12	3.58
55	8.2	0.5	0.41	5.13
56	6.7	-1.1	0.01	9.71
57	6.2	0.4	0	9.47
58	6.3	0.4	0	8.67
59	5.6	-1.1	0.34	7.36
60	6	-3.1	0	11.71
61	6.7	-0.2	0	11.73
62	7.5	-0.8	0	6.3
63	7.9	4.6	0.03	5.43
64	6.3	1.6	0.1	7.12
65	6	0.2	0.85	7.23
66	4.8	-2.1	0.35	5.92
67	3.8	-2.2	0.16	5.17
68	3.7	0.7	0.83	3.84
69	2	0.3	1.57	1.54
70	6.3	-2.2	0.01	12.25
71	10.4	0.4	0.12	6.56
72	14.5	9	0.36	11.12
73	9.8	3.2	0.86	7.8
