second,cLeaf,cStem,cFruit
0,90000,250000,280000
300,89993.3669663,249992.124192,279993.414721
600,89986.8910376,249984.372821,279987.356474
900,89980.6722853,249976.823608,279982.17273
1200,89974.8469392,249969.582387,279978.335374
1500,89969.6662673,249962.84472,279976.712349
1800,89965.4384981,249956.850453,279978.368556
2100,89962.5309814,249951.885629,279984.571685
2400,89961.2286342,249948.172155,279996.304352
2700,89961.6726692,249945.820077,280014.052564
3000,89963.7277422,249944.723984,280037.348456
3300,89967.5663222,249945.018644,280066.781515
3600,89972.2285881,249945.955761,280099.046751
3900,89978.3631197,249948.0416,280136.368975
4200,89985.1749399,249950.656213,280176.013182
4500,89992.7485442,249953.865885,280218.264835
4800,90000.8449859,249957.484369,280262.300756
5100,90009.3875334,249961.452079,280307.853657
5400,90018.2561542,249965.675454,280354.509903
5700,90027.4153315,249970.127115,280402.142335
6000,90036.7749678,249974.736716,280450.44107
6300,90046.2610304,249979.446171,280499.155764
6600,90055.8858075,249984.265389,280548.323077
6900,90065.6109322,249989.164366,280597.811298
7200,90075.4277577,249994.136673,280647.584135
7500,90085.3089707,249999.160921,280697.547565
7800,90095.2397749,250004.225609,280747.648352
8100,90105.1950665,250009.31033,280797.815607
8400,90115.2012514,250014.437362,280848.105442
8700,90125.2208966,250019.575824,280898.421918
9000,90135.2676813,250024.737467,280948.788792
9300,90145.3306737,250029.913466,280999.172395
9600,90155.4039245,250035.098551,281049.566586
9900,90165.5015412,250040.306765,281099.941959
10200,90175.6005409,250045.516292,281150.316263
10500,90185.7107032,250050.737226,281200.654685
10800,90195.8255851,250055.962983,281250.977937
11100,90205.945659,250061.19421,281301.276411
11400,90216.0718428,250066.431873,281351.54573
11700,90226.2061782,250071.677908,281401.777363
12000,90236.3443258,250076.927857,281451.991373
12300,90246.4957246,250082.190768,281502.157754
12600,90256.6513765,250087.457697,281552.312038
12900,90266.8268219,250092.743003,281602.417461
13200,90277.0022674,250098.028309,281652.522884
13500,90287.1811993,250103.316722,281702.622924
13800,90297.4093319,250108.648988,281752.647002
14100,90307.6374645,250113.981253,281802.67108
14400,90317.8657996,250119.313694,281852.694981
14700,90328.1225983,250124.670836,281902.694026
15000,90338.4059065,250130.050254,281952.698707
15300,90348.7169167,250135.452624,282002.72365
15600,90359.0701084,250140.889495,282052.800234
15900,90369.4756801,250146.368784,282102.960937
16200,90379.9688601,250151.918383,282153.291509
16500,90390.4923142,250157.492238,282203.682664
16800,90401.1527026,250163.175147,282254.378727
17100,90411.9177415,250168.941398,282305.307811
17400,90422.7475034,250174.759031,282356.386818
17700,90433.7043156,250180.677454,282407.762268
18000,90444.7870099,250186.695569,282459.436314
18300,90456.0059018,250192.821396,282511.437547
18600,90467.4471058,250199.122646,282563.988117
18900,90478.8883099,250205.423897,282616.538686
