,co2Air,tAir,vpAir,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1522.9846232709585,18.8772414289375,1863.4195441320833,250000.0,249946.84098,249996.09124,250058.800938,250122.763692,250187.269799,250252.25245,250317.67449,250383.527659,250452.905339,250539.24892,250647.549262,250779.94296,250926.71932,251051.200336,251169.451455,251270.682562,251344.971709,251315.163066,251242.45877,251162.868996,251080.788122,250997.580926,250913.843313
1,1625.3273103516667,19.235258129145834,1884.15980972,250873.004342,250928.498121,250999.132792,251071.089743,251143.249945,251215.444076,251287.800949,251360.453161,251432.973823,251512.260528,251629.875614,251776.309337,251921.409749,252075.091532,252237.808665,252400.908526,252563.658,252721.886243,252738.78193,252672.811316,252596.872918,252517.628257,252436.830736,252355.245815
2,1669.934916495,19.216002604745835,1972.8290091041665,252322.624775,252382.190565,252455.248786,252529.432753,252603.736177,252678.070756,252752.412108,252826.767273,252901.154419,252977.749185,253068.733259,253183.513928,253317.522314,253461.325213,253609.601844,253764.107212,253905.821098,254001.546817,253979.108977,253909.74517,253832.959617,253753.419937,253672.568911,253591.027113
3,1641.6668745441666,19.732159722904168,2011.9186325500002,253559.69633,253620.281521,253694.245376,253769.387353,253844.660929,253919.978197,253995.335743,254070.722566,254146.13481,254225.894115,254333.683906,254477.577622,254636.050051,254797.759027,254961.277885,255126.096459,255291.417308,255456.17143,255517.633486,255454.326729,255377.134002,255295.97937,255213.142382,255129.501636
4,1586.2623882504167,19.047424184754167,1870.226963965,255094.938316,255153.334275,255225.362295,255298.587825,255372.001696,255445.530336,255519.153062,255592.882221,255666.723077,255745.218541,255851.530477,255993.667548,256151.259943,256311.60654,256472.665029,256633.806641,256793.701019,256930.880207,256918.464047,256849.342498,256772.113725,256691.965845,256610.440406,256528.196975
5,1640.1075457425002,18.910422071208334,1906.6569615329165,256491.213829,256549.456925,256622.679165,256697.259231,256771.995509,256846.762932,256921.54025,256996.337895,257071.15145,257147.159571,257231.313973,257329.536221,257439.570873,257555.340854,257669.916943,257775.489151,257865.574367,257941.908078,257918.196391,257849.397788,257773.16621,257694.099853,257613.6307,257532.383549
6,1649.2920225725,19.567876733125,2032.56109333875,257500.063453,257559.860978,257633.441272,257708.19396,257782.978915,257857.726651,257932.43661,258007.119434,258081.757007,258158.656151,258250.388082,258366.178558,258501.172251,258645.871484,258792.832482,258930.425605,259037.043313,259113.468712,259086.170487,259014.108989,258934.804414,258852.79909,258769.510283,258685.557922
7,1623.20235142125,18.987384796179168,1946.4714944720834,258649.833169,258707.555359,258779.21907,258852.093107,258925.110547,258998.186189,259071.29529,259144.428335,259217.556897,259291.909957,259374.485435,259471.106107,259579.468164,259693.698775,259807.074467,259911.55518,260000.413821,260074.665299,260048.697274,259978.161626,259900.244284,259819.517562,259737.398128,259654.507241
8,1543.8516766641667,19.0986833965,1897.5580762158334,259618.461553,259676.069814,259748.221378,259821.413409,259894.657507,259967.956954,260041.338823,260114.785727,260188.298928,260264.01873,260359.588371,260485.863065,260623.111593,260775.850622,260931.480222,261085.077667,261220.692206,261309.196541,261283.795842,261213.374039,261135.463762,261054.690443,260972.475278,260889.442728
9,1612.1155402891666,18.974252058391667,1813.2758312641665,260848.975898,260904.894176,260976.957523,261050.567712,261124.431531,261198.438744,261272.537463,261346.738688,261421.052151,261501.822955,261617.123782,261759.130614,261909.103234,262057.856614,262204.589225,262343.374569,262457.354194,262539.67172,262515.844163,262446.254616,262369.11639,262289.042741,262207.469155,262125.045194
