,Day,Temperature(C),Humidity(percent),Radiation(MJ/m2/d),CO2(ppm),Photosynthesis rate(kg C/ha/day),Root respiration rate(kg C/ha/day),LAI,Shoot respiration rate(kg C/ha/day)
0,60,4.65,60.0,11.17,300.0,0.0,0.0,0.0,0.0
1,61,6.2,60.0,12.53,300.0,0.0,0.0,0.0,0.0
2,62,4.85,60.0,12.74,300.0,0.0,0.0,0.0,0.0
3,63,4.15,60.0,12.95,300.0,0.0,0.0,0.0,0.0
4,64,2.55,60.0,13.17,300.0,0.0,0.0,0.0,0.0
5,65,3.15,60.0,13.38,300.0,0.0,0.0,0.0,0.0
6,66,2.8,60.0,13.6,300.0,0.0,0.0,0.0,0.0
7,67,4.1,60.0,13.82,300.0,0.0,0.0,0.0,0.0
8,68,5.75,60.0,14.04,300.0,0.0,0.0,0.0,0.0
9,69,7.15,60.0,14.26,300.0,0.0,0.0,0.0,0.0
10,70,8.35,60.0,14.48,300.0,7.19,2.03,0.0,0.02
11,71,10.8,60.0,13.15,300.0,46.46,13.03,0.0,0.14
12,72,11.4,60.0,13.17,300.0,49.07,13.65,0.01,0.28
13,73,9.0,60.0,12.64,300.0,7.95,2.17,0.03,0.24
14,74,9.3,60.0,15.37,300.0,8.22,2.23,0.03,0.26
15,75,8.65,60.0,15.6,300.0,7.65,2.07,0.03,0.26
16,76,8.05,60.0,11.34,300.0,7.12,1.92,0.03,0.24
17,77,8.85,60.0,16.05,300.0,7.83,2.09,0.04,0.28
18,78,8.1,60.0,16.28,300.0,7.17,1.91,0.04,0.28
19,79,5.75,60.0,12.67,300.0,5.11,1.36,0.04,0.2
20,80,8.15,60.0,16.73,300.0,7.22,1.9,0.04,0.3
21,81,11.3,60.0,16.96,300.0,48.16,12.81,0.04,0.52
22,82,10.4,60.0,17.19,300.0,44.35,11.71,0.06,0.58
23,83,10.0,60.0,17.41,300.0,42.66,11.19,0.07,0.64
24,84,8.9,60.0,17.64,300.0,8.13,2.06,0.08,0.58
25,85,9.4,60.0,17.87,300.0,8.58,2.15,0.08,0.64
26,86,9.15,60.0,18.1,300.0,8.35,2.09,0.08,0.62
27,87,8.45,60.0,18.32,300.0,7.72,1.93,0.09,0.58
28,88,8.45,60.0,18.55,300.0,7.72,1.92,0.09,0.6
29,89,5.9,60.0,16.34,300.0,5.42,1.36,0.09,0.42
30,90,3.85,60.0,1.92,300.0,1.02,0.27,0.09,0.28
31,91,3.05,60.0,9.33,300.0,0.83,0.24,0.09,0.22
32,92,3.75,60.0,19.45,300.0,0.99,0.27,0.09,0.26
33,93,3.5,60.0,16.88,300.0,0.93,0.26,0.09,0.24
34,94,6.45,60.0,6.63,300.0,5.9,1.46,0.09,0.46
35,95,9.35,60.0,12.2,300.0,8.5,2.06,0.09,0.68
36,96,9.45,60.0,15.19,300.0,8.59,2.06,0.09,0.7
37,97,8.25,60.0,2.59,300.0,7.51,1.81,0.1,0.62
38,98,6.3,60.0,15.95,300.0,5.76,1.4,0.1,0.48
39,99,6.2,60.0,19.05,300.0,5.67,1.38,0.1,0.48
40,100,6.9,60.0,19.79,300.0,6.3,1.51,0.1,0.52
41,101,8.45,60.0,21.43,300.0,7.68,1.81,0.1,0.66
42,102,12.85,60.0,10.07,300.0,53.58,12.85,0.11,1.12
43,103,12.15,60.0,9.36,300.0,50.67,12.04,0.12,1.18
44,104,11.35,60.0,21.17,300.0,47.34,11.16,0.13,1.2
45,105,8.65,60.0,22.28,300.0,36.12,8.5,0.15,0.96
46,106,10.9,60.0,22.49,300.0,45.46,10.57,0.16,1.3
47,107,10.1,60.0,22.69,300.0,42.14,9.73,0.17,1.28
48,108,11.65,60.0,22.9,300.0,48.56,11.09,0.18,1.56
49,109,11.0,60.0,23.1,300.0,45.85,10.39,0.19,1.56
50,110,10.9,60.0,23.3,300.0,45.42,10.21,0.21,1.62
51,111,11.5,60.0,23.5,300.0,47.89,10.66,0.22,1.78
52,112,12.3,60.0,23.38,300.0,49.55,10.9,0.23,2.0
53,113,12.55,60.0,23.9,300.0,27.29,5.84,0.25,2.08
54,114,11.5,60.0,24.09,300.0,17.36,3.64,0.25,1.9
55,115,9.2,60.0,11.95,300.0,12.1,2.55,0.26,1.52
56,116,9.2,60.0,24.48,300.0,37.26,8.0,0.26,1.58
57,117,8.2,60.0,24.32,300.0,8.02,1.68,0.27,1.4
58,118,8.75,60.0,24.85,300.0,5.23,1.06,0.27,1.48
59,119,8.5,60.0,25.03,300.0,4.75,0.96,0.27,1.44
60,120,8.45,60.0,25.22,300.0,4.43,0.89,0.28,1.42
61,121,10.2,60.0,25.39,300.0,4.7,0.89,0.28,1.7
62,122,10.1,60.0,25.57,300.0,4.67,0.88,0.28,1.68
63,123,9.95,60.0,24.69,300.0,4.62,0.88,0.28,1.64
64,124,9.45,60.0,25.56,300.0,4.53,0.87,0.28,1.54
65,125,11.0,60.0,22.7,300.0,4.76,0.87,0.28,1.78
66,126,13.15,60.0,26.25,300.0,9.13,1.67,0.28,2.1
67,127,13.95,60.0,17.9,300.0,5.17,0.85,0.28,2.2
68,128,10.95,60.0,26.58,300.0,15.37,2.94,0.28,1.74
69,129,12.9,60.0,26.74,300.0,6.46,1.13,0.29,2.02
70,130,15.6,60.0,26.16,300.0,5.35,0.84,0.29,2.4
71,131,14.15,60.0,19.37,300.0,5.19,0.85,0.29,2.14
72,132,13.25,60.0,27.2,300.0,15.11,2.71,0.29,2.0
73,133,13.9,60.0,27.34,300.0,5.42,0.89,0.29,2.08
74,134,14.35,60.0,27.49,300.0,5.03,0.81,0.29,2.1
75,135,16.3,60.0,27.63,300.0,5.27,0.8,0.3,2.36
76,136,19.1,60.0,21.62,300.0,5.6,0.79,0.3,2.7
77,137,18.25,60.0,25.31,300.0,12.01,1.9,0.3,2.54
78,138,17.4,60.0,26.51,300.0,8.33,1.29,0.3,2.36
79,139,17.65,60.0,14.85,300.0,5.43,0.36,0.3,2.36
80,140,14.35,60.0,1.03,300.0,14.85,0.36,0.3,1.9300000000000002
81,141,13.65,60.0,26.5,300.0,39.62,0.36,0.31,1.94
82,142,14.05,60.0,28.52,300.0,28.22,0.36,0.34,2.06
83,143,16.6,60.0,14.9,300.0,19.09,0.36,0.35,2.44
84,144,13.1,60.0,19.21,300.0,21.92,0.36,0.36,1.95
85,145,13.0,60.0,26.92,300.0,15.72,0.36,0.38,1.94
86,146,14.95,60.0,25.91,300.0,7.71,0.36,0.39,2.2
87,147,13.15,60.0,22.32,300.0,6.41,0.36,0.39,1.9
88,148,12.1,60.0,28.36,300.0,9.61,0.36,0.39,1.7400000000000002
89,149,11.15,60.0,20.66,300.0,4.25,0.36,0.4,1.5699999999999998
90,150,10.9,60.0,25.89,300.0,11.34,0.36,0.4,1.5299999999999998
91,151,12.9,60.0,13.32,300.0,8.46,0.36,0.41,1.79
92,152,12.35,60.0,15.57,300.0,24.1,0.36,0.41,1.7200000000000002
93,153,13.15,60.0,29.59,300.0,19.51,0.36,0.42,1.85
94,154,15.6,60.0,28.85,300.0,7.89,0.36,0.44,2.13
95,155,15.55,60.0,28.92,300.0,4.55,0.36,0.44,2.0700000000000003
96,156,16.7,60.0,1.34,300.0,4.5,0.36,0.44,2.1399999999999997
97,157,13.95,60.0,6.12,300.0,41.37,0.36,0.44,1.8399999999999999
98,158,14.15,60.0,27.92,300.0,38.55,0.36,0.47,1.9
99,159,14.2,60.0,5.73,300.0,34.09,0.36,0.49,1.9200000000000002
100,160,15.45,60.0,30.03,300.0,42.04,0.36,0.51,2.11
101,161,16.25,60.0,26.54,300.0,25.39,0.36,0.54,2.19
102,162,16.5,60.0,30.13,300.0,9.04,0.36,0.56,2.15
103,163,15.75,60.0,30.16,300.0,4.04,0.36,0.56,1.97
104,164,13.75,60.0,28.57,300.0,3.73,0.36,0.56,1.65
105,165,13.45,60.0,29.81,300.0,4.06,0.36,0.56,1.5499999999999998
106,166,16.4,60.0,30.26,300.0,3.87,0.36,0.56,1.8
107,167,16.65,60.0,30.28,300.0,3.8,0.36,0.56,1.73
108,168,20.85,60.0,29.47,300.0,4.09,0.36,0.57,2.01
109,169,18.45,60.0,23.28,300.0,3.73,0.36,0.57,1.66
110,170,14.35,60.0,6.57,300.0,8.15,0.36,0.57,1.22
111,171,14.85,60.0,30.34,300.0,32.78,0.36,0.57,1.23
112,172,15.1,60.0,30.34,300.0,4.96,0.36,0.59,1.16
113,173,16.55,60.0,30.34,300.0,3.25,0.36,0.6,1.18
114,174,20.9,60.0,30.33,300.0,3.4,0.36,0.6,1.32
115,175,19.1,60.0,2.89,300.0,3.14,0.36,0.6,1.07
116,176,17.65,60.0,22.63,300.0,49.94,0.36,0.6,0.9099999999999999
117,177,18.05,60.0,15.76,300.0,11.84,0.36,0.63,0.81
118,178,17.15,60.0,13.33,300.0,20.64,0.36,0.64,0.66
119,179,17.1,60.0,30.24,300.0,24.66,0.36,0.65,0.55
120,180,20.85,60.0,30.21,300.0,4.28,0.36,0.67,0.49
121,181,17.65,60.0,7.62,300.0,2.35,0.36,0.67,0.28
122,182,16.05,60.0,23.15,300.0,32.92,0.36,0.67,0.14
123,183,17.3,60.0,30.1,300.0,10.36,0.36,0.69,0.03
124,60,4.65,60.0,11.17,300.0,0.0,0.0,0.0,0.0
125,61,6.2,60.0,12.53,300.0,0.0,0.0,0.0,0.0
126,62,4.85,60.0,12.74,300.0,0.0,0.0,0.0,0.0
127,63,4.15,60.0,12.95,300.0,0.0,0.0,0.0,0.0
